استان,نام استان,شهرستان,نام شهرستان,بخش,نام بخش
04,آذربايجان غربي,10,بوكان,01,سيمينه
04,آذربايجان غربي,10,بوكان,02,مركزئ
04,آذربايجان غربي,15,پلدشت,01,ارس
04,آذربايجان غربي,15,پلدشت,02,مركزئ
04,آذربايجان غربي,02,پيرانشهر,01,مركزئ
04,آذربايجان غربي,02,پيرانشهر,02,لاجان
04,آذربايجان غربي,12,تكاب,01,مركزئ
04,آذربايجان غربي,12,تكاب,02,تخت سليمان
04,آذربايجان غربي,14,چالدران,01,دشتك
04,آذربايجان غربي,14,چالدران,02,مركزئ
04,آذربايجان غربي,16,چايپاره,01,حاجيلار
04,آذربايجان غربي,16,چايپاره,02,مركزئ
04,آذربايجان غربي,03,خوئ,02,مركزئ
04,آذربايجان غربي,03,خوئ,03,صفائيه
04,آذربايجان غربي,03,خوئ,04,ايواوغلي
04,آذربايجان غربي,03,خوئ,05,قطور
04,آذربايجان غربي,03,خوئ,06,فيرورق
04,آذربايجان غربي,04,سردشت,01,مركزئ
04,آذربايجان غربي,04,سردشت,02,وزينه
04,آذربايجان غربي,05,سلماس,01,مركزئ
04,آذربايجان غربي,05,سلماس,02,كوهسار
04,آذربايجان غربي,11,شاهين دژ,01,مركزئ
04,آذربايجان غربي,11,شاهين دژ,02,كشاورز
04,آذربايجان غربي,17,شوط,01,قره قويون
04,آذربايجان غربي,17,شوط,02,مركزئ
04,آذربايجان غربي,06,ماكو,04,مركزئ
04,آذربايجان غربي,06,ماكو,05,بازرگان
04,آذربايجان غربي,07,مهاباد,01,خليفان
04,آذربايجان غربي,07,مهاباد,02,مركزئ
04,آذربايجان غربي,08,مياندوآب,03,مركزئ
04,آذربايجان غربي,08,مياندوآب,04,مرحمت آباد
04,آذربايجان غربي,08,مياندوآب,05,باروق
04,آذربايجان غربي,09,نقده,02,مركزئ
04,آذربايجان غربي,09,نقده,03,محمديار
18,بوشهر,01,بوشهر,01,خارك
18,بوشهر,01,بوشهر,02,مركزئ
18,بوشهر,01,بوشهر,03,چغادک
18,بوشهر,02,تنگستان,01,دلوار
18,بوشهر,02,تنگستان,02,مركزئ
18,بوشهر,09,جم,01,ريز
18,بوشهر,09,جم,02,مركزئ
18,بوشهر,03,دشتستان,01,سعدآباد
18,بوشهر,03,دشتستان,02,شبانكاره
18,بوشهر,03,دشتستان,03,مركزئ
18,بوشهر,03,دشتستان,04,ارم
18,بوشهر,03,دشتستان,05,بوشكان
18,بوشهر,03,دشتستان,06,آب پخش
18,بوشهر,04,دشتي,01,كاكي
18,بوشهر,04,دشتي,02,مركزئ
18,بوشهر,04,دشتي,03,شنبه و طسوج
18,بوشهر,05,دير,01,بردخون
18,بوشهر,05,دير,02,مركزئ
18,بوشهر,05,دير,03,آبدان
18,بوشهر,08,ديلم,01,امام حسن
18,بوشهر,08,ديلم,02,مركزئ
18,بوشهر,10,عسلويه,01,مرکزي
18,بوشهر,10,عسلويه,02,چاه مبارک
18,بوشهر,06,كنگان,02,مركزئ
18,بوشهر,06,كنگان,03,سیراف
18,بوشهر,07,گناوه,02,ريگ
18,بوشهر,07,گناوه,03,مركزئ
23,تهران,10,اسلامشهر,01,چهاردانگه
23,تهران,10,اسلامشهر,02,مركزئ
23,تهران,10,اسلامشهر,03,احمد آباد مستوفي
23,تهران,19,بهارستان,01,گلستان
23,تهران,19,بهارستان,02,بوستان
23,تهران,13,پاكدشت,01,شريف آباد
23,تهران,13,پاكدشت,02,مركزئ
23,تهران,20,پرديس,01,بومهن
23,تهران,20,پرديس,02,جاجرود
23,تهران,18,پيشوا,01,مركزي
23,تهران,18,پيشوا,02,جليل آباد
23,تهران,01,تهران,01,كن
23,تهران,01,تهران,02,مركزئ
23,تهران,01,تهران,03,آفتاب
23,تهران,02,دماوند,02,مركزئ
23,تهران,02,دماوند,03,رودهن
23,تهران,12,رباط کريم,02,مركزئ
23,تهران,03,رئ,02,فشاپويه
23,تهران,03,رئ,03,كهريزك
23,تهران,03,رئ,04,مركزئ
23,تهران,03,رئ,05,خاوران
23,تهران,03,رئ,06,قلعه نو
23,تهران,04,شميرانات,01,رودبارقصران
23,تهران,04,شميرانات,02,لواسانات
23,تهران,09,شهريار,02,مركزئ
23,تهران,09,شهريار,03,جوقین
23,تهران,14,فيروزكوه,01,ارجمند
